ID,Use for zillow scrape
14734,"https://www.zillow.com/homes/1308-MOCKINGBIRD-LN-CHARLOTTE,-NC-28210_rb/"
14737,"https://www.zillow.com/homes/5826-CAMELOT-DR-CHARLOTTE,-NC-28210_rb/"
14763,"https://www.zillow.com/homes/2214-MCCLINTOCK-RD-CHARLOTTE,-NC-28210_rb/"
14766,"https://www.zillow.com/homes/450-MELBOURNE-CT-CHARLOTTE,-NC-28210_rb/"
14786,"https://www.zillow.com/homes/6508-TALL-OAKS-TL-CHARLOTTE,-NC-28210_rb/"
14809,"https://www.zillow.com/homes/6509-TALL-OAKS-TL-CHARLOTTE,-NC-28210_rb/"
14812,"https://www.zillow.com/homes/6429-TALL-OAKS-TL-CHARLOTTE,-NC-28210_rb/"
14830,"https://www.zillow.com/homes/6531-TALL-OAKS-TL-CHARLOTTE,-NC-28210_rb/"
14853,"https://www.zillow.com/homes/7327-LEE-REA-RD-CHARLOTTE,-NC-28210_rb/"
14914,"https://www.zillow.com/homes/1512-SUNNYSIDE-AV-CHARLOTTE,-NC-28211_rb/"
14922,"https://www.zillow.com/homes/6712-SUNVIEW-DR-CHARLOTTE,-NC-28211_rb/"
14928,"https://www.zillow.com/homes/431-GREYSTONE-RD-CHARLOTTE,-NC-28211_rb/"
14931,"https://www.zillow.com/homes/4925-MEGAN-LN-CHARLOTTE,-NC-28211_rb/"
14950,"https://www.zillow.com/homes/2200-LABURNUM-AV-CHARLOTTE,-NC-28211_rb/"
14968,"https://www.zillow.com/homes/1837-FULTON-AV-CHARLOTTE,-NC-28211_rb/"
15011,"https://www.zillow.com/homes/860-OLD-BELL-RD-CHARLOTTE,-NC-28211_rb/"
15045,"https://www.zillow.com/homes/5048-MURRAYHILL-RD-CHARLOTTE,-NC-28211_rb/"
15078,"https://www.zillow.com/homes/4732-ASPEN-CT-CHARLOTTE,-NC-28211_rb/"
15096,"https://www.zillow.com/homes/2015-THOMAS-AV-CHARLOTTE,-NC-28211_rb/"
15131,"https://www.zillow.com/homes/126-SARDIS-VIEW-LN-CHARLOTTE,-NC-28211_rb/"
15136,"https://www.zillow.com/homes/1100-HARTFORD-AV-CHARLOTTE,-NC-28211_rb/"
15138,"https://www.zillow.com/homes/4726-ASPEN-CT-CHARLOTTE,-NC-28211_rb/"
15142,"https://www.zillow.com/homes/2317-COMMONWEALTH-AV-CHARLOTTE,-NC-28211_rb/"
15178,"https://www.zillow.com/homes/1534-LUMARKA-DR-CHARLOTTE,-NC-28211_rb/"
15210,"https://www.zillow.com/homes/1825-BOBOLINK-LN-CHARLOTTE,-NC-28211_rb/"
15221,"https://www.zillow.com/homes/4112-CASTLEWOOD-RD-CHARLOTTE,-NC-28211_rb/"
15230,"https://www.zillow.com/homes/4237-CASTLEWOOD-RD-CHARLOTTE,-NC-28211_rb/"
15231,"https://www.zillow.com/homes/5423-PARK-RD-CHARLOTTE,-NC-28211_rb/"
15250,"https://www.zillow.com/homes/5011-WEDGEWOOD-DR-CHARLOTTE,-NC-28212_rb/"
15251,"https://www.zillow.com/homes/2417-COMMONWEALTH-AV-CHARLOTTE,-NC-28212_rb/"
15253,"https://www.zillow.com/homes/3045-SIMPSON-DR-CHARLOTTE,-NC-28212_rb/"
15254,"https://www.zillow.com/homes/1537-BELVEDERE-AV-CHARLOTTE,-NC-28213_rb/"
15255,"https://www.zillow.com/homes/1317-CANDLE-CT-CHARLOTTE,-NC-28213_rb/"
15257,"https://www.zillow.com/homes/10320-WHITETHORN-DR-CHARLOTTE,-NC-28213_rb/"
15259,"https://www.zillow.com/homes/301-W-SUGAR-CREEK-RD-CHARLOTTE,-NC-28213_rb/"
15260,"https://www.zillow.com/homes/323-HARTFORD-AV-CHARLOTTE,-NC-28214_rb/"
15268,"https://www.zillow.com/homes/4035-CHANDWORTH-RD-CHARLOTTE,-NC-28215_rb/"
15269,"https://www.zillow.com/homes/1831-THOMAS-AV-CHARLOTTE,-NC-28215_rb/"
15270,"https://www.zillow.com/homes/1000-W-4TH-ST-EXT-CHARLOTTE,-NC-28215_rb/"
15276,"https://www.zillow.com/homes/5236-WIMBLETON-CT-CHARLOTTE,-NC-28216_rb/"
